Town,Reference Number,Exempt Code,Exempt Code Description,Address,Owner or Facility,Acres,Volume and Page,Land Assessment,Building Assessment,Total Assessment,OPM Assessment,Location
East Lyme,9883,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",SOCIETY RD,CONNECTICUT STATE OF,0.01,913 76 0,"$3,290",$0,"$3,290","$3,290",POINT (-72.235438285 41.342346814)
Bloomfield,R90215,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00302 TUNXIS AVE,CONNECTICUT STATE OF,8.52,88/394,"$54,570",$0,"$54,570","$54,570",POINT (-72.742119259 41.862095225)
Cheshire,00092500,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 WATERBURY RD,CONN STATE OF,0.28,187/173,"$38,980",$0,"$38,980","$38,980",POINT (-72.937394316 41.533708279)
Easton,00297879,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 EVERETT ROAD,STATE OF CONNECTICUT,21.92,382/276,"$5,950",$0,"$5,950","$5,950",POINT (-73.283426876 41.28821062)
Easton,00030200,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 STEPNEY ROAD,STATE OF CONNECTICUT,1.5,382/283,$420,$0,$420,$420,POINT (-73.287534875 41.296499104)
Groton,260809069261 E,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",189 FORT HILL RD,CONNECTICUT STATE OF,66.22,277/103,"$6,130,600","$31,191,580","$37,322,180","$37,322,180",POINT (-72.017132962 41.341002021)
East Hartford,00017141,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00617 SILVER LN REAR,STATE OF CONNECTICUT,26.86,3139/242,"$529,480",$0,"$529,480","$529,480",POINT (-72.617550778 41.763271302)
Ellington,20010077,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 SANDY BEACH RD,CONNECTICUT STATE OF,3.75,270/585,"$9,350",$0,"$9,350","$9,350",POINT (-72.347285896 41.935362294)
Bristol,0077615,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 LINCOLN AVE,STATE OF CONNECTICUT,0.44,1399/404,"$45,360",$0,"$45,360","$45,360",POINT (-72.895799665 41.670761087)
Farmington,16958789,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",08789 SCOTT SWAMP RD,CONNECTICUT STATE OF,365.02,0/0,"$16,887,850",$0,"$16,887,850","$16,887,850",POINT (-72.87331508 41.707109384)
Coventry,30106,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",WILLIMANTIC TPK,CONNECTICUT STATE OF,1.94,0490 0212,"$8,100",$0,"$8,100","$8,100",POINT (-72.407409541 41.769427057)
Coventry,30023,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",NORTH RIVER RD,CONNECTICUT STATE OF,81.72,0051 0329,"$192,700",$0,"$192,700","$192,700",POINT (-72.346383343 41.812994802)
Bridgeport,0908--09-------,OABX,"Administrative (office buildings, court houses, any others)",00172 GOLDEN HILL ST,STATE OF CONN,1.27,0/0,"$2,178,050","$5,830,940","$8,008,990","$8,008,990",POINT (-73.190892019 41.18057801)
Bloomfield,R90198,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00260 WINTONBURY AVE,CONNECTICUT STATE OF,327,254/8,"$258,580",$0,"$258,580","$258,580",POINT (-72.702037637 41.832699595)
Easton,00297856,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 BEERS ROAD,STATE OF CONNECTICUT,17.76,382/278,"$4,830",$0,"$4,830","$4,830",POINT (-73.279416882 41.23166828)
Hamden,3334002000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",01040 MT CARMEL AVE REAR,STATE OF CONNECTICUT,10.63,3063/136,"$24,150",$0,"$24,150","$24,150",POINT (-72.868818982 41.427219995)
Kent,00174610,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 SOUTH KENT RD,CONNECTICUT STATE OF,0.44,126/716,"$59,200","$119,500","$178,700","$178,700",POINT (-73.474812824 41.659427158)
Glastonbury,70400009E,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 THOMPSON ST,CONNECTICUT STATE OF,6,121/282,"$1,600",$0,"$1,600","$1,600",POINT (-72.514935429 41.683654281)
Goshen,00804006,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 ELI BUNKER ROAD,CONNECTICUT STATE OF - DEP,401,0/0,"$109,480",$0,"$109,480","$109,480",POINT (-73.278175007 41.803826475)
Granby,15200005,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00005 WEST GRANBY RD,CONNECTICUT STATE OF,1.2,206/64,"$47,670",$0,"$47,670","$47,670",POINT (-72.794187312 41.956252693)
Farmington,13150016,OEBX,"Health Care (Mental illness, tuberculosis and chronic diseases, alcoholic clinic, veteran's home and hospital, emotionally disturbed children, any others)",00016 MUNSON RD,UCHCFC MUNSON ROAD CORP,19.61,825/109,"$2,143,050","$13,401,360","$15,544,410","$15,544,410",POINT (-72.787983992 41.72571499)
Eastford,00101190,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 KENNERSON RESV RD,CONNECTICUT STATE OF,0.6,42/188,"$16,000",$0,"$16,000","$16,000",POINT (-72.124472137 41.855726008)
Clinton,C0646900,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 MEADOW RD,CONNECTICUT STATE OF,2.78,95/385,"$75,100",$0,"$75,100","$75,100",POINT (-72.500474587 41.273211098)
Farmington,15308656,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",08656 PLAINVILLE AV,CONNECTICUT STATE OF TCC,9.22,364/576,"$633,080","$279,300","$912,380","$912,380",POINT (-72.880035385 41.708547848)
East Haddam,00144300,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 MILLINGTON HOPYARD RD,CONN STATE OF,247.33,0/0,"$51,940",$0,"$51,940","$51,940",POINT (-72.354959808 41.484119952)
Danbury,J13078,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",00000 ROBERTS AV,STATE OF CONNECTICUT,0.53,256/255,"$10,710",$0,"$10,710","$10,710",POINT (-73.442847146 41.401071631)
Ellington,00338901,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 WEBSTER RD,CONNECTICUT STATE OF,11.04,425/817,"$25,110",$0,"$25,110","$25,110",POINT (-72.413659311 41.937801489)
Deep River,00087600,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 WEST BRIDGE ST,STATE BOARD OF FISHERIES GAME,1.2,82/469,"$6,930",$0,"$6,930","$6,930",POINT (-72.447774004 41.384750742)
Bristol,0016268,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 CENTRAL ST,STATE OF CONNECTICUT,0.1,990/417,"$4,200",$0,"$4,200","$4,200",POINT (-72.8981233 41.67357398)
Burlington,00066400,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 BELDEN RD,CONNECTICUT STATE OF,38,0/0,"$227,500","$38,220","$265,720","$265,720",POINT (-72.952799046 41.774889086)
Canton,3470040,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",00040 LAWTON ROAD,CONNECTICUT STATE OF,65.95,262/1038,"$192,210",$0,"$192,210","$192,210",POINT (-72.88415571 41.82802019)
Ellington,20030002,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 SADDS MILL RD,CONNECTICUT STATE OF,0.98,217/78,"$70,250",$0,"$70,250","$70,250",POINT (-72.498698288 41.920659411)
Columbia,00192400,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",00080 RT 66,CONN STATE OF,3.02,98/986,"$37,170","$183,330","$220,500","$220,500",POINT (-72.287738012 41.710476019)
Haddam,R0532400,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 RIVER FRONT,CONN STATE OF MUNICIPAL DIV,2,0/0,$550,$0,$550,$550,POINT (-72.47738693 41.464653554)
East Hampton,R20054,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 HURD PARK RD,CONNECTICUT STATE OF,59,84/41,"$361,620",$0,"$361,620","$361,620",POINT (-72.530390282 41.519020241)
Goshen,00216800,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 EAST CORNWALL ROAD,CONNECTICUT STATE OF - DEP,2.07,0/0,$570,$0,$570,$570,POINT (-73.263815695 41.809220892)
Beacon Falls,00000400,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",NORTH MAIN ST,CONN STATE OF,647,8/325,"$176,630",$0,"$176,630","$176,630",POINT (-73.066511519 41.446293058)
Griswold,00525800,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00150 LEE RD,CONNECTICUT STATE OF,256.2,40/149,"$448,350",$0,"$448,350","$448,350",POINT (-71.887599319 41.601687273)
Cromwell,00520000,OEBX,"Health Care (Mental illness, tuberculosis and chronic diseases, alcoholic clinic, veteran's home and hospital, emotionally disturbed children, any others)",00090 SHUNPIKE ROAD,CONNECTICUT STATE OF,0.63,533/314,"$64,750","$147,770","$212,520","$212,520",POINT (-72.675370021 41.610433982)
Colchester,G0511400,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 STANAVAGE RD,GOLDEN HILL PAUGUSETTE RESERVATION,1.15,123/915,"$45,300",$0,"$45,300","$45,300",POINT (-72.260159209 41.549930108)
Branford,20003,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00115-149 ROSE HILL RD,CONNECTICUT ST OF+BRANFORD TOWN OF,59,500/619,"$82,600",$0,"$82,600","$82,600",POINT (-72.854599067 41.270048038)
Durham,C0053500,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 OLD BLUE HILLS RD,CONNECTICUT STATE OF,9,0/0,"$5,360",$0,"$5,360","$5,360",POINT (-72.662828883 41.460141684)
Hartford,270077074,OABX,"Administrative (office buildings, court houses, any others)",00003 TAYLOR ST,STATE OF CONN ADRIAEN`S LANDING,0.46,4341/169,"$762,580",$0,"$762,580","$762,580",POINT (-72.667883976 41.761701015)
Hamden,2929086000000,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00666 EVERGREEN AVE REAR,CONN AGRICULTURAL EXPT STATION,3.82,326/50,"$82,950",$0,"$82,950","$82,950",POINT (-72.902907595 41.40202574)
Beacon Falls,00163700,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 SOUTH MAIN ST,CONN STATE OF,0.42,40/519,"$40,490",$0,"$40,490","$40,490",POINT (-73.059924013 41.43508369)
Chaplin,C001130,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 NUTMEG LN,CONNECTICUT STATE OF,128,0/0,"$21,500",$0,"$21,500","$21,500",POINT (-72.102928038 41.812132258)
Goshen,00196100,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 KUBISH ROAD,CONNECTICUT STATE OF,54.03,0/0,"$14,760",$0,"$14,760","$14,760",POINT (-73.280063851 41.780459536)
Colchester,P0251200,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 PROSPECT HILL RD,CONNECTICUT STATE OF,108.65,1283/100,"$121,110",$0,"$121,110","$121,110",POINT (-72.368668037 41.574548495)
Haddam,W0732000,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 WIG HILL RD,CONN STATE OF MISC,95,156/541,"$25,940",$0,"$25,940","$25,940",POINT (-72.504091258 41.433450807)
Hartland,98100895,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 HARTLAND BLVD,STATE OF CONNECTICUT,0.4,0/0,$560,$0,$560,$560,POINT (-72.894461629 41.987328253)
Andover,1244,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 PARKER BRIDGE RD,CONNECTICUT STATE OF-DOT,0.7,72/451,"$7,770",$0,"$7,770","$7,770",POINT (-72.333146418 41.732926225)
Bloomfield,R90220,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00102 OLD WINDSOR RD,CONNECTICUT STATE OF,60.3,50/537,"$168,840",$0,"$168,840","$168,840",POINT (-72.691353582 41.860688821)
Canaan,14105036,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 CANAAN MOUNTAIN RD,CONNECTICUT STATE OF,83.25,64/759,"$433,000",$0,"$433,000","$433,000",POINT (-73.2815 41.98482)
Barkhamsted,00000160,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 E HARTLAND RD,CONNECTICUT STATE OF,926.5,31/195,"$84,310",$0,"$84,310","$84,310",POINT (-72.922927672 41.927359322)
Groton,178020825265 E,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",500 GUNGYWAMP RD,CONNECTICUT STATE OF,171,1202/703,"$915,740",$0,"$915,740","$915,740",POINT (-72.064343026 41.385467011)
Hartford,244283011,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00010 HUNTLEY PL,STATE OF CONN HIGHWAY DEPT,0.24,0/0,"$73,290",$0,"$73,290","$73,290",POINT (-72.679854119 41.771796007)
Beacon Falls,00119200,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 LOPUS RD,CONN STATE OF,0.34,40/567,"$49,180",$0,"$49,180","$49,180",POINT (-73.068501708 41.438523243)
East Haddam,00204100,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00045 LEESVILLE RD,CONN STATE OF,59.25,443/195,"$12,450",$0,"$12,450","$12,450",POINT (-72.466261099 41.498265504)
