Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
200709,2020,04/16/2021,Manchester,152 GREEN ROAD,"$138,100.00","$282,500.00",0.488849558,Residential,Single Family,,,,
200377,2020,07/02/2021,Avon,70 FAR HILLS DRIVE,"$862,330.00","$1,447,500.00",0.5957,Residential,Single Family,,,,
200345,2020,04/23/2021,Farmington,84 TUNXIS VILLAGE,"$132,890.00","$213,000.00",0.6238,Residential,Condo,,,,POINT (-72.83535 41.74329)
200759,2020,07/21/2021,Shelton,104 MAPLE AVE,"$144,410.00","$185,000.00",0.7805,Residential,Single Family,,,,
210838,2021,06/02/2022,Hamden,761 WEST WOODS RD,"$173,740.00","$415,000.00",0.4186,Residential,Single Family,,,,POINT (-72.931202973 41.420790991)
211529,2021,09/19/2022,Danbury,42 MIRY BROOK RD 23,"$5,300.00","$29,000.00",0.1827,Residential,Single Family,25 - Other,RATIO TOO LOW / F19044-18 / MOBILE HOME,,POINT (-73.483595035 41.36598202)
210147,2021,02/04/2022,Killingly,121 RIVER ST,"$81,900.00","$170,000.00",0.4817,Residential,Single Family,,,,POINT (-71.889793999 41.811084003)
200254,2020,11/20/2020,Greenwich,414 RIVERSVILLE ROAD,"$793,940.00","$1,230,000.00",0.6454,Residential,Single Family,,,,POINT (-73.67677 41.07222)
210134,2021,10/20/2021,Bridgeport,127 KENNEDY DR,"$70,850.00","$129,000.00",0.5492,Residential,Condo,,,,POINT (-73.22247503 41.214785018)
210273,2021,08/22/2022,Mansfield,11 GRANDVIEW CIR,"$35,700.00","$80,000.00",0.4462,Residential,Single Family,,SUN ROLLING HILLS MH PARK 55+,,POINT (-72.274376001 41.821160015)
200797,2020,04/12/2021,Danbury,55 STARRS PLAIN RD,"$228,500.00","$350,000.00",0.6528,Residential,Single Family,,H24009,,POINT (-73.46519 41.3389)
201332,2020,09/20/2021,Bristol,14 INWOOD LN,"$158,760.00","$345,000.00",0.4601,Residential,Single Family,,,,POINT (-72.89724 41.71331)
2100196,2021,12/29/2021,Naugatuck,10 THUNDERBIRD DRIVE,"$14,340.00","$10,000.00",1.434,Residential,Single Family,26 - Rehabilitation Deferred,MOBILE HOME,,POINT (-73.054473024 41.511275019)
211960,2021,07/27/2022,Bridgeport,50 TREMONT AVE,"$181,790.00","$470,000.00",0.3867,Residential,Two Family,,,,POINT (-73.210027988 41.201507999)
210774,2021,01/19/2022,Bridgeport,463 CONNECTICUT AVE #465,"$107,421.00","$212,000.00",0.50670283,Residential,Three Family,07 - Change in Property,,,POINT (-73.16860303 41.179428013)
21010,2021,10/12/2021,Lebanon,102 SPAFFORD RD,"$130,340.00","$295,000.00",0.4418,Residential,Single Family,,,,POINT (-72.319528978 41.629537009)
2000066,2020,11/24/2020,Wethersfield,261 COPPERMILL RD,"$297,710.00","$500,000.00",0.5954,Residential,Single Family,,,,
200241,2020,01/11/2021,Glastonbury,16 GARLAND DR,"$97,300.00","$182,000.00",0.5346,Residential,Condo,,,,POINT (-72.58818 41.72469)
200186,2020,12/11/2020,Branford,3 GROVE CT,"$43,400.00","$86,501.00",0.5017,Residential,Condo,,,,
210613,2021,08/29/2022,Glastonbury,23 CROSSROADS LN,"$146,700.00","$380,000.00",0.386,Residential,Condo,,,,POINT (-72.610357968 41.717417995)
20079,2020,06/16/2021,Lisbon,19 RIVER RD,"$93,690.00","$170,000.00",0.5511,Residential,Single Family,25 - Other,G0071400 SOLD TO ABUTTER & OUT OF ESTATE,,
210239,2021,02/15/2022,Glastonbury,1034 HEBRON AVE,"$140,700.00","$325,000.00",0.432923077,Residential,Single Family,07 - Change in Property,,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #210080,POINT (-72.572820034 41.717058998)
200220,2020,07/19/2021,Mansfield,87 MONTICELLO LANE,"$330,900.00","$605,000.00",0.5469,Residential,Single Family,,,,POINT (-72.23629 41.79186)
200027,2020,11/16/2020,Bethany,93 BEACON RD,"$256,060.00","$450,444.00",0.5684,Residential,Single Family,,,,
211640,2021,05/31/2022,Bridgeport,975 THORME ST,"$157,990.00","$430,000.00",0.367418605,Residential,Single Family,07 - Change in Property,,PER MLS HOUSE HAS 2.5 BATHS AND FINISHED BASEMENT NOT ON FIELD CARD,POINT (-73.222211 41.202594)
200187,2020,11/04/2020,Greenwich,7 HEMLOCK DRIVE,"$1,324,400.00","$1,690,000.00",0.7836,Residential,Single Family,25 - Other,NOT LISTED,,
200068,2020,02/02/2021,Killingworth,53 CHITTENDEN ROAD,"$120,170.00","$206,500.00",0.581937046,Residential,Single Family,,,,
210331,2021,12/06/2021,Danbury,29 CLEVELAND ST 4,"$95,100.00","$270,000.00",0.3522,Residential,Condo,,J12107-4,,POINT (-73.438482961 41.403447996)
212025,2021,08/05/2022,Bridgeport,205 MARION #207,"$178,520.00","$490,000.00",0.3643,Residential,Two Family,,,,POINT (-73.205511986 41.197943008)
200352,2020,03/09/2021,Glastonbury,16 DRUMLIN RD,"$416,900.00","$700,000.00",0.5955,Residential,Single Family,,,,
210069,2021,10/18/2021,Danbury,43 BARNUM RD,"$296,500.00","$560,000.00",0.5294,Residential,Single Family,,F05026,,POINT (-73.480563971 41.44079499)
20274,2020,01/08/2021,Newtown,16 SILVER BROOK LANE,"$419,590.00","$779,000.00",0.5386,Residential,Single Family,,,,
2000388,2020,06/24/2021,Cheshire,770 WARD LANE,"$207,180.00","$397,000.00",0.5218,Residential,Single Family,,,,POINT (-72.92611 41.48526)
210592,2021,12/20/2021,Bridgeport,527 WILLIAM ST,"$144,680.00","$299,000.00",0.4838,Residential,Two Family,,,,POINT (-73.185655858 41.191492966)
200127,2020,02/04/2021,Cromwell,44 CEDAR LAND COURT,"$81,060.00","$143,000.00",0.566853147,Residential,Condo,25 - Other,ESTATE,,POINT (-72.68307 41.60321)
2020154,2020,03/02/2021,Ansonia,95 JACKSON ST,"$148,700.00","$310,000.00",0.4796,Residential,Two Family,,,,POINT (-73.08976 41.34593)
211015,2021,06/22/2022,Bristol,31 EBERT RD,"$109,760.00","$51,752.94",2.120845695,Residential,Single Family,01 - Family,FAMILY SALE,,POINT (-72.924395023 41.651589)
10144,2001,02/19/2002,Monroe,11 LAUREL DR,"$183,470.00","$357,000.00",0.513921569,,,,,,
210741,2021,05/16/2022,Hamden,4 DANTE PL,"$123,130.00","$42,500.00",2.8971,Residential,Single Family,01 - Family,FAMILY SALE,,POINT (-72.935472966 41.352494993)
200266,2020,07/08/2021,Colchester,81 LAKEVIEW DR,"$125,800.00","$260,000.00",0.4838,Residential,Single Family,,,,POINT (-72.41762 41.52897)
210131,2021,11/04/2021,New Britain,96 COMMONWEALTH AVE,"$110,180.00","$232,500.00",0.4738,Residential,Single Family,,,,POINT (-72.786102003 41.686449)
10029,2001,05/13/2002,Colebrook,BOHUN RD,"$12,900.00","$17,000.00",0.758823529,,,,,,
21078,2021,06/21/2022,Deep River,6 WESTBROOK RD,"$192,150.00","$225,000.00",0.854,Residential,Single Family,25 - Other,,PER MLS HOUSE IN POOR CONDITION. CURRENTLY NO KITCHEN AND ONE BATH IS ROUGH PLUMBING ONLY.,POINT (-72.489289005 41.361251986)
20097,2020,11/25/2020,Bethel,8 BLACKMAN AVENUE,"$264,040.00","$445,000.00",0.5933,Residential,Two Family,,,,
210298,2021,05/26/2022,Killingly,17 ORIOLE DR,"$166,380.00","$300,000.00",0.5546,Residential,Condo,,,,POINT (-71.867767041 41.832084088)
2000374,2020,09/07/2021,Bloomfield,77 OLD WINDSOR ROAD,"$241,710.00","$200,000.00",1.20855,Industrial,,03 - Inter Corporation,,,POINT (-72.69468 41.86088)
202000106,2020,01/28/2021,Plymouth,325 MAIN ST,"$596,470.00","$833,111.00",0.7159,Commercial,,,,,
21251,2021,03/23/2022,Guilford,379 WHITFIELD ST CN2146,"$13,440.00","$53,500.00",0.2512,Residential,Condo,,DOCKOMINIUM/BOAT SLIP,,POINT (-72.677426736 41.277981372)
20203,2020,12/04/2020,Hartford,70 FREEMAN ST,"$68,565.00","$275,000.00",0.2493,Residential,Three Family,,,,POINT (-72.69085 41.73261)
20795,2020,08/04/2021,East Hartford,31 MARGERY DR,"$107,390.00","$260,000.00",0.413,Residential,Single Family,,,,
200429,2020,05/03/2021,Groton,38 WARD AVE,"$246,470.00","$558,000.00",0.4417,Residential,Single Family,,,,
200450,2020,05/06/2021,East Haven,113 BORRMANN RD,"$131,910.00","$240,000.00",0.5496,Residential,Single Family,,,,
210023,2021,10/28/2021,Essex,30 WEST AVE,"$938,900.00","$2,650,000.00",0.3543,Residential,Single Family,,,,POINT (-72.395707989 41.353364993)
211186,2021,06/29/2022,Danbury,92 WARRINGTON RN,"$206,600.00","$513,900.00",0.402,Residential,Condo,,B15001-40-92,,POINT (-73.457068581 41.386070955)
210871,2021,06/14/2022,Hamden,130 VERNON ST,"$151,620.00","$400,000.00",0.379,Residential,Single Family,,,,POINT (-72.904002021 41.389691993)
201785,2020,09/28/2021,Greenwich,57 HILLSIDE DRIVE,"$1,187,690.00","$1,800,000.00",0.6598,Residential,Single Family,,,,POINT (-73.62356 41.04409)
200000382,2020,08/19/2021,Brookfield,10 MEADOW DR,"$223,440.00","$450,000.00",0.4965,Residential,Single Family,,,,
200260,2020,11/23/2020,Danbury,32 COALPIT HILL RD #4,"$84,900.00","$181,778.00",0.467053219,Residential,Condo,25 - Other,J16087-4,MULTIPLE UNIT SALE,POINT (-73.43796 41.38549)
200000352,2020,07/29/2021,Brookfield,26 ACORN LN,"$95,040.00","$250,000.00",0.38016,Residential,Condo,,,GOOD SALE PER MLS,
210251,2021,05/20/2022,Bloomfield,134 THISTLE POND DRIVE,"$172,760.00","$357,500.00",0.4832,Residential,Condo,,,,POINT (-72.755051277 41.833893578)
210459,2021,12/30/2021,Danbury,42 BRENTWOOD CI,"$260,600.00","$550,000.00",0.4738,Residential,Condo,,B16001-170,,POINT (-73.524791909 41.384413295)
20058,2020,06/01/2021,Barkhamsted,46 RATLUM MTN RD,"$203,530.00","$415,000.00",0.490433735,Residential,Single Family,,"2003 COLONIAL, 2140 SFLA, 2.99 AC",,
21000437,2021,07/27/2022,Cheshire,105 DEEPWOOD DR,"$137,960.00","$315,000.00",0.4379,Residential,Single Family,,,,POINT (-72.914417038 41.510217014)
2100144,2021,04/18/2022,New Fairfield,4 JOELS DR,"$251,300.00","$350,000.00",0.718,Residential,Single Family,,,,POINT (-73.503859962 41.479195003)
210549,2021,12/13/2021,Bridgeport,1546 FAIRFIELD AVE #1562,"$301,930.00","$360,000.00",0.8386,Commercial,,16 - Charitable Group,,,POINT (-73.212495033 41.171744993)
210207,2021,12/02/2021,Fairfield,555 MILL HILL TERRACE,"$544,600.00","$35,000.00",15.56,Vacant Land,,06 - Portion of Property,,,POINT (-73.280907959 41.146362997)
12532,2001,08/13/2002,Bolton,45 BEACON CT,$0.00,"$12,350.00",0,,,8,,,
200192,2020,11/20/2020,New Haven,459 BLATCHLEY AV,"$71,150.00","$170,000.00",0.4185,Residential,Two Family,,,,
218438,2021,08/15/2022,Middletown,5 YELLOW GREEN RD,"$123,020.00","$255,000.00",0.4824,Residential,Single Family,,,,POINT (-72.674438037 41.527245017)
210232,2021,06/21/2022,East Hampton,36 NORTH CONE RD,"$130,950.00","$235,000.00",0.557234043,Residential,Single Family,,,,POINT (-72.54291399 41.578886007)
210150,2021,02/22/2022,Avon,18 RIVER VIEW,"$141,270.00","$257,600.00",0.5484,Residential,Condo,,Includes Garage O-G,,POINT (-72.822186543 41.803251601)
210227,2021,04/05/2022,Killingly,18 POTTER ST,"$49,980.00","$184,000.00",0.2716,Residential,Single Family,07 - Change in Property,,,POINT (-71.881020997 41.805482)
20200070,2020,04/08/2021,Sharon,101 MILLERTON RD,"$170,200.00","$287,000.00",0.593,Residential,Single Family,,,,
210629,2021,05/03/2022,Fairfield,78 WEBSTER ST & 81 CHAMBERS ST,"$596,820.00","$970,000.00",0.6152,Commercial,,25 - Other,SALE INCLUDES ADDITIONAL LOT,,POINT (-73.232495009 41.165603991)
210318,2021,06/23/2022,New Canaan,32 OAK GROVE PL,"$543,200.00","$1,475,000.00",0.3682,Residential,Two Family,,,,POINT (-73.49471497 41.135109999)
21144,2021,01/18/2022,Bethel,15 RAVENCREST DRIVE,"$339,290.00","$660,000.00",0.514,Residential,Single Family,,,,POINT (-73.359155037 41.364124004)
211060,2021,03/02/2022,Bridgeport,116 MERRIAM ST,"$97,480.00","$291,667.00",0.3342,Residential,Three Family,25 - Other,NO EXPOSURE,,POINT (-73.191605989 41.194693009)
200372,2020,04/05/2021,East Haven,75 REDWOOD DR #704,"$89,580.00","$165,000.00",0.5429,Residential,Condo,,,,POINT (-72.84836 41.32761)
210197,2021,11/30/2021,Fairfield,125 VESPER STREET,"$264,320.00","$334,000.00",0.791377246,Residential,Single Family,25 - Other,POSSIBLE DURESS,PER MLS SLOPING ISSUES ON 2ND FLOOR. ENGINEERS REPORT INCLUDED.,POINT (-73.234403987 41.179839983)
200284,2020,04/19/2021,East Lyme,61 INDIANOLA RD,"$183,470.00","$470,000.00",0.390361702,Residential,Single Family,,,GOOD SALE PER MLS,POINT (-72.2107 41.2985)
210715,2021,01/27/2022,Middletown,141 RIDGEWOOD RD,"$44,490.00","$45,000.00",0.9886,Vacant Land,,,,,POINT (-72.690960558 41.567701689)
210245,2021,12/03/2021,New Britain,52 FEDERAL CIR,"$114,870.00","$275,000.00",0.4177,Residential,Two Family,,,,POINT (-72.786689993 41.686878992)
200616,2020,08/10/2021,Farmington,32 CENTERBROOK DRIVE,"$365,260.00","$702,000.00",0.5203,Residential,Single Family,,,,POINT (-72.87059 41.71271)
200117,2020,04/12/2021,Canton,52 COUNTRY LANE,"$160,850.00","$280,000.00",0.5744,Residential,Single Family,,,,
210117,2021,01/11/2022,Cromwell,57 MIDWAY DRIVE,"$132,510.00","$155,000.00",0.8549,Residential,Condo,25 - Other,NEEDS CONSIDERABLE WORK,,POINT (-72.688789029 41.606954989)
210127,2021,11/03/2021,Hamden,20 ST JAMES ST,"$118,650.00","$229,900.00",0.516,Residential,Single Family,,,,POINT (-72.92894296 41.356204991)
210151,2021,05/06/2022,Litchfield,101 SHEAR SHOP RD,"$116,100.00","$300,000.00",0.387,Vacant Land,,28 - Use Assessment,FOREST,,POINT (-73.267953689 41.776341266)
200012,2020,10/09/2020,Windsor Locks,7 DIBBLE HOLLOW,"$130,550.00","$198,400.00",0.658,Residential,Condo,,,,
200392,2020,09/16/2021,Wolcott,11 ELRAE DR,"$228,480.00","$368,500.00",0.62,Residential,Single Family,07 - Change in Property,NEW CONSTRUCTION,,
2020108,2020,01/08/2021,Ansonia,145 PULASKI HWY,"$136,100.00","$269,000.00",0.5059,Residential,Single Family,,,,POINT (-73.04455 41.33126)
210178,2021,05/19/2022,Clinton,9 GRAYLEDGE DR,"$189,100.00","$160,000.00",1.1818,Residential,Single Family,25 - Other,NOT ON OPEN MARKET,,POINT (-72.531704033 41.304015993)
210136,2021,03/23/2022,Derby,116-120 HAWTHORNE AVE,"$133,140.00","$421,000.00",0.3162,Residential,Three Family,,,,POINT (-73.096056987 41.327268021)
10878,2001,05/06/2002,Hartford,103 LEDGER ST,"$51,170.00","$134,000.00",0.381865672,,,,,,
210588,2021,12/17/2021,Bridgeport,401 BREWSTER AVE,"$167,435.00","$285,000.00",0.5874,Residential,Single Family,,,,POINT (-73.224010008 41.155001009)
211519,2021,09/15/2022,Danbury,18 PAUL ST,"$127,600.00","$355,000.00",0.3594,Residential,Single Family,,H21040,,POINT (-73.45978297 41.353591011)
200051,2020,11/16/2020,East Haddam,163 LEESVILLE RD,"$287,090.00","$360,000.00",0.7974,Residential,Two Family,,,,POINT (-72.48085 41.51121)
200591,2020,03/05/2021,Manchester,128 CAMPFIELD ROAD,"$99,800.00","$204,000.00",0.4892,Residential,Single Family,,,,POINT (-72.53906 41.76544)
210124,2021,02/28/2022,Mansfield,33 PINEWOODS LN,"$131,000.00","$235,000.00",0.5574,Residential,Single Family,,,,POINT (-72.191666985 41.772062011)
210115,2021,12/22/2021,New Canaan,180 PARK ST-#D306,"$37,913,540.00","$1,625,000.00",23.3314,Residential,Condo,07 - Change in Property,CONDOS DEVELOPED FROM APTS - FORMERLY 162 PARK ST,,POINT (-73.494666371 41.143323043)
10703,2001,03/27/2002,Hartford,46-48 DEERFIELD AVE,"$58,030.00",$0.00,0,,,11,,,
2121020,2021,10/25/2021,Ansonia,2 BEHRLE DR,"$132,100.00","$288,500.00",0.4578,Residential,Single Family,,,,POINT (-73.067300018 41.357977009)
211363,2021,04/12/2022,Bridgeport,21 WOOD AVE,"$124,670.00","$150,000.00",0.8311,Residential,Single Family,,,,POINT (-73.201615993 41.177478005)
201254,2020,09/24/2021,Hartford,107 HENRY ST,"$110,911.00","$325,000.00",0.3412,Residential,Three Family,,,,
210561,2021,02/23/2022,Bristol,76 OSULLIVAN DRIVE,"$131,320.00","$245,000.00",0.536,Residential,Single Family,,,,POINT (-72.894711016 41.692458993)
210129,2021,05/27/2022,Essex,83 NORTH MAIN ST,"$299,800.00","$685,000.00",0.4376,Residential,Single Family,,,,POINT (-72.396604015 41.359702005)
210340,2021,06/30/2022,Killingly,10 KIES RD,"$273,560.00","$532,000.00",0.5142,Residential,Single Family,,,,POINT (-71.859911006 41.785195992)
20804,2020,05/25/2021,Hartford,51 SOUTH WHITNEY ST,"$50,225.00","$189,900.00",0.2644,Residential,Single Family,,,,
20054,2020,12/04/2020,Burlington,24 STRONG STREET,"$128,270.00","$212,000.00",0.605,Residential,Single Family,,,,
20091,2020,05/17/2021,Lebanon,344 LAKESIDE DR,"$172,700.00","$130,000.00",1.3284,Residential,Single Family,08 - Part Interest,,,POINT (-72.22572 41.54816)
200197,2020,09/10/2021,Hebron,55 KNOLLWOOD DR,"$259,800.00","$531,800.00",0.4885,Residential,Single Family,,,,
210346,2021,08/01/2022,Ledyard,152 LAMBTOWN RD,"$265,650.00","$495,000.00",0.5366,Residential,Single Family,,,,POINT (-71.995101968 41.408463014)
210033,2021,06/22/2022,Bridgewater,19 WEWAKA BROOK RD,"$401,700.00","$675,000.00",0.5951,Residential,Single Family,,,,POINT (-73.347626987 41.513496014)
210029,2021,11/02/2021,New Fairfield,36 LAKESHORE N,"$132,900.00","$285,000.00",0.4663,Residential,Single Family,,,,POINT (-73.461656996 41.48357702)
200404,2020,04/20/2021,East Haven,276 NORTH HIGH ST,"$126,210.00","$130,000.00",0.9708,Residential,Single Family,18 - In Lieu Of Foreclosure,,,
10530,2001,09/12/2002,Avon,1 PUTNAM LN,"$97,300.00","$200,000.00",0.4865,,,,,,
20067,2020,11/05/2020,Bethel,24 FOREST WSY,"$279,790.00","$405,000.00",0.6908,Residential,Condo,,,,POINT (-72.3286 41.51537)
210691,2021,04/29/2022,Hamden,56 REYNA RD,"$121,660.00","$174,000.00",0.6991,Residential,Single Family,,,,POINT (-72.944906965 41.352470015)
211344,2021,08/04/2022,Danbury,12-16 SCUPPO RD C-7,"$69,400.00","$175,000.00",0.3965,Residential,Condo,,F14098-7,,POINT (-73.479456973 41.390724979)
200897,2020,05/03/2021,Danbury,7 BACKUS AV,"$6,343,700.00","$2,940,000.00",2.1577,Commercial,,25 - Other,F16015 / RATIO TOO HIGH,,POINT (-73.47724 41.37845)
201374,2020,09/29/2021,Bristol,320 RAMBLER ST,"$122,150.00","$264,502.00",0.4618,Residential,Single Family,,,,
20450,2020,08/16/2021,Bethel,28 IDELWOOD,"$109,550.00","$235,000.00",0.4661,Residential,Condo,,,,
200000370,2020,08/12/2021,Brookfield,9 CHATHAM COURT,"$83,780.00","$150,000.00",0.5585,Residential,Condo,,,,POINT (-73.40204 41.44508)
11430,2001,09/26/2002,Milford,ROSELLE ST,"$31,360.00","$70,000.00",0.448,,,,,,
20166,2020,12/02/2020,East Hartford,55 OLMSTED ST,"$86,230.00","$185,000.00",0.466108108,Residential,Single Family,07 - Change in Property,,,POINT (-72.63496 41.77331)
210203,2021,04/06/2022,Ledyard,678 COLONEL LEDYARD HWY,"$293,230.00","$390,000.00",0.7518,Commercial,,,,,POINT (-72.007819997 41.439850014)
210041,2021,10/08/2021,Bristol,290 RAMBLER ST,"$121,100.00","$250,000.00",0.4844,Residential,Single Family,,,,POINT (-72.898873972 41.707571019)
20166,2020,01/25/2021,Darien,159 MIDDLESEX ROAD,"$693,980.00","$940,000.00",0.7382,Residential,Single Family,,,,POINT (-73.49851 41.07618)
20265,2020,01/05/2021,East Hartford,48 CANTERBURY ST,"$76,440.00","$122,500.00",0.624,Residential,Single Family,,,,POINT (-72.61564 41.73582)
200679,2020,08/05/2021,Branford,3 BUSINESS PARK DR,"$2,195,800.00","$2,535,000.00",0.8661,Commercial,,25 - Other,MOTEL/PRIVATE SALE,,
21201,2021,04/04/2022,Bethel,5 LAURA LANE,"$108,010.00","$285,000.00",0.3789,Residential,Condo,,,,POINT (-73.425778008 41.367949001)
210562,2021,02/28/2022,New Britain,15-19 PROSPECT ST,"$26,110.00","$50,000.00",0.5222,Residential,Condo,,,,POINT (-72.784050029 41.664930015)
211225,2021,08/17/2022,Bristol,391 FALL MOUNTAIN RD,"$93,030.00","$200,000.00",0.4651,Residential,Single Family,,,,POINT (-72.982245997 41.659852006)
210954,2021,06/06/2022,Bristol,"98 SKYRIDGE RD., #1-4-1","$73,500.00","$165,000.00",0.4454,Residential,Condo,,,,POINT (-72.948355029 41.659004009)
200245,2020,03/07/2021,Guilford,4 JOYCE ST,"$154,750.00","$147,500.00",1.0491,Residential,Single Family,08 - Part Interest,,,
20281,2020,04/21/2021,Bethel,16 OXFORD STREET,"$170,800.00","$307,000.00",0.5563,Residential,Single Family,,,,
200753,2020,05/03/2021,Manchester,95 SCHOOL STREET,"$104,300.00","$200,000.00",0.5215,Residential,Single Family,,,,
200035,2020,10/20/2020,Madison,51 PARTRIDGE LN,"$263,900.00","$450,000.00",0.5864,Residential,Single Family,,,,
210176,2021,02/16/2022,Killingly,60 SCHOOL ST,"$101,990.00","$196,020.00",0.5203,Residential,Two Family,,,,POINT (-71.882108968 41.802759013)
211726,2021,06/13/2022,Bridgeport,56 PARK TER #58,"$168,480.00","$376,000.00",0.448085106,Residential,Three Family,,,,POINT (-73.19445701 41.16770898)
20644,2020,06/24/2021,East Hartford,257 PROSPECT ST,"$83,850.00","$128,000.00",0.655,Residential,Single Family,25 - Other,UNKNOWN,,
210954,2021,02/14/2022,Bridgeport,333 VINCELLETTE ST UNIT #23,"$66,420.00","$145,000.00",0.458068966,Residential,Condo,,,,POINT (-73.218168995 41.214528992)
21000048,2021,10/29/2021,Cheshire,401 S MERIDEN RD,"$284,350.00","$432,000.00",0.6582,Residential,Single Family,,,,POINT (-72.876670981 41.508198987)
200338,2020,02/12/2021,Enfield,221 MEADOWS,"$145,150.00","$220,000.00",0.6597,Residential,Condo,,,,
210127,2021,11/29/2021,Glastonbury,147 INDIAN HILL TRL,"$183,300.00","$340,000.00",0.5391,Residential,Single Family,,,,POINT (-72.524695002 41.737665991)
200031,2020,12/16/2020,Bethlehem,15 TULIP TREE LANE,"$207,000.00","$335,000.00",0.6179,Residential,Condo,01 - Family,FAMILY SALE,,POINT (-73.18916 41.6129)
210361,2021,09/15/2022,Cromwell,77 BERLIN ROAD,"$881,860.00","$2,035,434.00",0.4332,Commercial,,,,,POINT (-72.69342397 41.601528)
200178,2020,05/28/2021,Litchfield,92 NORFOLK RD,"$486,360.00","$1,700,000.00",0.286,Residential,Single Family,28 - Use Assessment,,,
210395,2021,08/15/2022,Avon,236 WATERVILLE ROAD,"$169,510.00","$300,000.00",0.565,Residential,Single Family,,,,POINT (-72.815440005 41.789825988)
210004,2021,10/04/2021,New Fairfield,104 LAKE DR S,"$645,700.00","$1,600,000.00",0.4035,Residential,Single Family,,,,POINT (-73.450292979 41.469866993)
201254,2020,07/07/2021,Griswold,61 SOUTH MAIN ST UNIT 105,"$87,500.00","$165,000.00",0.53030303,Residential,Condo,,,,POINT (-72.64947 41.55449)
210275,2021,12/06/2021,Bristol,343 PARK ST,"$101,980.00","$157,500.00",0.6474,Residential,Two Family,,,,POINT (-72.962405026 41.671925006)
2100668,2021,09/16/2022,Naugatuck,246 MAY ST,"$118,550.00","$255,000.00",0.4649,Residential,Single Family,,,,POINT (-73.036733984 41.488155006)
201173,2020,06/14/2021,Greenwich,8 NORIAS ROAD,"$710,640.00","$1,347,000.00",0.5275,Residential,Single Family,,,,
210145,2021,02/14/2022,Avon,390 COUNTRY CLUB ROAD,"$383,500.00","$690,000.00",0.5557,Residential,Single Family,,,,POINT (-72.871442015 41.790244999)
210923,2021,08/24/2022,Norwich,5 ROBBINS CT,"$106,400.00","$175,000.00",0.608,Residential,Two Family,,,,POINT (-72.071522964 41.525827009)
200436,2020,05/04/2021,Groton,67 LEAFWOOD LN S250,"$71,960.00","$130,000.00",0.5535,Residential,Condo,,,,
200010,2020,10/22/2020,Rocky Hill,59 HIGHCREST DRIVE,"$128,870.00","$193,000.00",0.6677,Residential,Condo,,,,
21014,2021,12/20/2021,Chester,27 RIDGE RD,"$148,020.00","$83,000.00",1.7833,Residential,Single Family,25 - Other,PROPERTY ESTATE SALE,,POINT (-72.459281037 41.404384003)
210577,2021,11/23/2021,Bridgeport,3250 FAIRFIELD AVE #205,"$113,340.00","$235,000.00",0.482297872,Residential,Condo,,,,POINT (-73.233418024 41.156224013)
2020348,2020,09/13/2021,Ansonia,230 WAKELEE AVE,"$150,500.00","$325,000.00",0.463,Commercial,,,,,
210160,2021,11/17/2021,Fairfield,51 TAQUOSHE PLACE,"$494,340.00","$1,250,000.00",0.3954,Residential,Single Family,,,,POINT (-73.260011037 41.194261006)
2000546,2020,09/27/2021,Cheshire,49 S BROOKSVALE RD,"$253,780.00","$490,000.00",0.5179,Residential,Single Family,,,,
210601,2021,04/25/2022,Fairfield,924 CEDAR ROAD,"$724,710.00","$1,750,000.00",0.4141,Residential,Single Family,,,,POINT (-73.296468041 41.155240019)
200194,2020,01/04/2021,East Haven,116 PLEASANT AVE,"$149,030.00","$360,500.00",0.4133,Residential,Single Family,,,,
200269,2020,04/14/2021,East Lyme,46 CRESCENT AVE,"$175,630.00","$469,000.00",0.374477612,Residential,Single Family,07 - Change in Property,,PER MLS RENOVATED KITCHEN AND BATHS,POINT (-72.20687 41.31537)
210681,2021,09/22/2022,Glastonbury,117 CAMBRIDGE DR,"$179,300.00","$320,000.00",0.5603,Residential,Single Family,,,,POINT (-72.57090896 41.72858202)
200519,2020,05/26/2021,Glastonbury,33 CLINTON ST,"$173,300.00","$285,000.00",0.608,Residential,Single Family,,,,
210390,2021,09/01/2022,Ledyard,38 SEABURY AVE,"$236,250.00","$396,000.00",0.5965,Residential,Single Family,,,,POINT (-72.000932001 41.456926005)
211171,2021,09/02/2022,New Britain,70 RONALD RD,"$72,100.00","$139,900.00",0.5153,Residential,Single Family,,,,POINT (-72.796014022 41.694873987)
210341,2021,08/03/2022,Bloomfield,4 TRINITY CIR,"$138,740.00","$294,000.00",0.4719,Residential,Single Family,,,,POINT (-72.730080966 41.821748005)
2000257,2020,06/03/2021,Bloomfield,23 OLD WINDSOR ROAD,"$534,030.00","$632,989.00",0.8436,Industrial,,,,,POINT (-72.7025 41.85679)
210442,2021,11/30/2021,Bridgeport,78 TARINELLI CIRCLE,"$154,630.00","$215,000.00",0.7192,Residential,Single Family,,,,POINT (-73.234536002 41.22314802)
210434,2021,09/09/2022,Killingly,1108 NORTH RD,"$221,970.00","$565,000.00",0.3928,Residential,Single Family,,,,POINT (-71.814140031 41.856052997)
210884,2021,06/16/2022,Hamden,84 BROADWAY,"$93,380.00","$120,000.00",0.7781,Residential,Single Family,,,,POINT (-72.892794997 41.401252021)
